pdf_url,question,page
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,1
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,2
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,3
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,4
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,5
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,6
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,7
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,8
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,9
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,10
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,11
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,12
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,13
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,14
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,15
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,16
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,17
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,18
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,19
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,20
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,21
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,22
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,23
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,24
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,25
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,26
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,27
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,28
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,29
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,30
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,31
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,32
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,33
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,34
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,35
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,36
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,37
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,38
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,39
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,40
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,41
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,42
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,43
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,44
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,45
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,46
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,47
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,48
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,49
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,50
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,51
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,52
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,53
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,54
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,55
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,56
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,57
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,58
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,59
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,60
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,61
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,62
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,63
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,64
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,65
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,66
https://dl.dropboxusercontent.com/s/e2h5edfsx5stlm7/seville-spending-budget-2013.pdf?token_hash=AAFyckkDeWhspcxlMLgS7EDHsBlL2O1CJIMCNtWhv0pZkw&disable_range=1,Transcribe,67
https://dl.dropboxusercontent.com/s/o03ixi8sd3m69y9/seville-income-budget-2013.pdf?token_hash=AAGkSrK1uNuXxhtA22qFNWgKT6Hc2MrsA2PqOCiPOq67iQ&disable_range=1,Transcribe,1
https://dl.dropboxusercontent.com/s/o03ixi8sd3m69y9/seville-income-budget-2013.pdf?token_hash=AAGkSrK1uNuXxhtA22qFNWgKT6Hc2MrsA2PqOCiPOq67iQ&disable_range=1,Transcribe,2
https://dl.dropboxusercontent.com/s/o03ixi8sd3m69y9/seville-income-budget-2013.pdf?token_hash=AAGkSrK1uNuXxhtA22qFNWgKT6Hc2MrsA2PqOCiPOq67iQ&disable_range=1,Transcribe,3
https://dl.dropboxusercontent.com/s/o03ixi8sd3m69y9/seville-income-budget-2013.pdf?token_hash=AAGkSrK1uNuXxhtA22qFNWgKT6Hc2MrsA2PqOCiPOq67iQ&disable_range=1,Transcribe,4
https://dl.dropboxusercontent.com/s/o03ixi8sd3m69y9/seville-income-budget-2013.pdf?token_hash=AAGkSrK1uNuXxhtA22qFNWgKT6Hc2MrsA2PqOCiPOq67iQ&disable_range=1,Transcribe,5